الاسم اللاتيني	رقم التسلسل	العلامة المسمارية
a	579	𒀀
á	334	𒀉
à	193	𒉿
a₄	579	𒀀𒀭
a₅	97	𒀝
a₆	411	𒌋
a₇	589	𒄩
a₈	535	𒌨
a₉	522	𒆹
a₁₀ (?)	356	𒊷
aʾ, ʾa	397	𒀪𒀪
āʾ, ʾā	398	
ʾā	321	
ʾā₄	579	
ab ,ap	428	𒀊
áb,áp	420	𒀖
àb, àp, aba₃	445	𒀜
ab₄, aba₄	495	
abgal	87	𒉣𒈨
abbal	525	
ablal₂	522	
ablal₃	542	𒇦
abmi		
abrig		𒉣𒈨𒁺
absim ?		
absim₂ ?	183	
absim₃	56	
abzu	6	𒍪𒀊
ad, at, aṭ	405	
ād, āt, āṭ	10 / 437	
ad		𒀜
ad₄	381	𒍞
adab		𒌓𒉣
adama	69	𒁁𒈪
adamem		
adamem₂		
adamem₃	228	
adam	382	
addir		𒀀𒉺𒄐𒉻𒋛𒀀
adkin		𒋠𒇴
ag, ak, aq	97	
ag	183	𒀝
ag	341	𒀝
aga	347	𒂇
agam	570	𒀂
agam₁		
agam₂		
agar	294 / 379	
agar₂	500	𒇋
agar₃	526	𒆻
agar₄ ?	504	
agar₅ ?	571	
agargara	97	𒉩
agargara₂	87	
agarim	494	𒂼𒀭𒈹
agarim₂	495	
agarim₃		
agrig	131 / 452	𒅆𒁾
aḫ	398	
āḫ	334	
àḫ	381	
aḫ₄	60	
aḫulab	102	
ai, aia	579	
ak, aka	97	
aka₂	483	𒉘
aka₃	344 / 444	𒋃
akami		
akar	87 / 42	𒉬
akkil		𒃰𒋺𒋛
akkil₂	145	𒀜𒆤
akkum	579 / 248	
al		𒀠
āl		
al₅	381	𒌓
al₇	13	
alar	217	
alad₂	522	
alad₃		
alal	347	𒋄
alal₂	314 / 356	𒋃
alala		𒀩
alala₂	373	
alala₃	384	
alam	358	𒀩
alammuš	444	𒋭
alan	358	𒀩
alʾal	229	
alʾal₂	405	
alim	421	𒄋
alla	560	𒉄
allu, alli, ala	38	
am	170	𒄠
ām	183	
àm	579	
am₄	254	
am₅	274	𒃣
am₆	13	𒀭
ama	237	𒂼
ama₂	170	𒄠
ama₃	85	
ama₄	251	𒃘
ama₅	271	𒃣
amagi	583	
amam	103b	
amar	437	𒀫
amaš	293	𒁦
amat	558	𒊩𒆳
ambar	522	𒆹
amedu	237	𒂼𒀀𒌅
amma	366	𒆳
amme ?	51	
amma	381	𒆳
amma₂	474	
an	13	𒀭
ana	480	𒁹
ana₂	13	𒀭
ana₃	1	𒀸
andul	329	
anše	208	𒀲 / 𒄏
anšu	208	𒀲
ap	cf. ab 428	𒀊
apim	56	
aq	cf. ag 97	𒀝
ar	451	𒅈
ar₂	306	𒌒
ar₃	401	𒄯
ar₅	362	𒃵
ar₆	206	𒁺
ara	353	𒊭
ara₂	306	𒌒
ara₃	401	𒄯
ara₆?	206	
ara₇	381	𒌓
ara₈	451	𒅈
arad	050	𒀴
arad₂	051	𒀵
arad₃?	436	
aragub	206	𒁺
arah₃	261	𒃥
arda	050	𒀴
arhuš	271	𒃣
arhuš₄?	237	
ari₃	295	𒉺
ari₆	164	𒋧
aru	295	𒉺
as	131	𒊍
aš	001	𒀸
aṣ	131	𒊍
aš₁₀	480	𒁹
aš₁₁	360	𒀹
as₂	339	𒀾
aš₂	339	𒀾
aṣ₂	339	𒀾
as₃	001	𒀸
aš₃	598b	𒐋
aṣ₃	001	𒀸
as₄	522	𒆹
as₅	071	𒋓
as₆	409e	𒄱
aš₇	071	𒋓
aš₈	409e	𒄱
aš₉	331a	𒀼𒀼 / 𒑀
asa	131	𒊍
aša	001	𒀸
asa₂	339	𒀾
aša₂	339	𒀾
aša₃	598b	𒐋
aša₅	105	𒃷
ašag	105	𒃷
ašag₂	261	
asal	044	𒍂
asar	044	𒍂
asara	044	𒍂
asari	044	𒍂
asaru	044	𒍂
ašdar	418	𒌋𒁯
ašgi₂	071	
asil	156	𒂰
asil₃	158	𒂢
asil₄	160	𒂤
asil₅	159	𒂣
asila	156	𒂰
asila₂	215	𒋆
asila₃	158	𒂢
asila₄	160	𒂤
asila₅	159	𒂣
asilal	156	𒂰
asilal₂	215	𒋆
asilal₃	158	𒂢
asilal₄	160	𒂤
asilal₅	159	𒂣
asilla₂	215	𒋆
asillal₃	158	𒂢
aški	066c	𒍤𒆸
ašlag₂	536	𒌆
aslum	522	𒆹
ašnan₂	367	𒊺
ašša	001	𒀸
ašša₂	092	𒃰𒋺
ašša₃	598b	𒐋
aš-šur	014	
ašta	092	𒃰𒋺
ašte₂	522	𒆹
aštub	297	
at	145	𒀜
aṭ	145	𒀜
at₂	010	𒄉
aṭ₂	010	𒄉
aw	383	𒉿
aya₂-aya₂	583	
aya₃	575	𒌨
aya₄	522	𒆹
az	131	𒊍
az₂	339	𒀾
az₃	001	𒀸
aza	131	𒊍
azad₂	063d	𒋺
azalag₂	536	𒌆
azlag₂	536	𒌆
azu	181n	𒍬
ba	005	𒁀
ba₁₀?	439	
ba₁₁	019	𒅤
ba₁₃	532	𒈨
ba₁₅	074	𒁇
ba₂	295	𒉺
ba₃	472	𒌍
ba₄	233	𒂷
ba₅?	030	
ba₆	318	𒌑
ba₇	074	𒈦
ba₉	069	𒁁
bab₂	381	𒌓
baba₂	133	𒆍
babar	381	𒌓
babbar	381	𒌓
babir	225	
babir₂	215	
babu	133	𒆍
bad	069	𒁁
bad₂	469	𒉻
bad₅	449	𒅆
bada	069	𒁁
badi	449	𒅆
baeš	339	𒀾
bag	078	𒄷
bah	078	𒄷
bah₃	355	𒈜
bahar	297	𒄞
bak	078	𒄷
bal	009	𒁄
bal₂	011	𒁔
bal₃	301n	𒀡
bal₄	303	𒀦
bala	009	𒁄
balak	009	𒁄
baliha	166b	𒆜𒆳
bamen	295	𒑐
bamin	295	𒑐
ban	439	𒉼
ban₂	074	𒑏
ban₃	144	𒌉
ban₄	230	𒆕
bana	439	𒉼
banda₂	074	𒑏
banda₃	144	𒌉
bandiliša	110	𒆯
baneš	339	𒀾
banmin	295	𒑐
bansur	041	𒍎
banšur	041	𒍎
bansur₂	227	𒅃
banšur₂	227	𒅃
banšura	041	𒍎
bappir	225	𒋋
bappir₂	215	𒋆
bappir₃	214c	𒁋
bappira	225	𒋋
bappira₂	215	𒋆
bappira₃	214c	𒁋
baq	078	𒄷
bar	074	𒁇
bar₂	344	𒁈
bar₄	229n	𒉌𒌓
bar₅	567	𒋞
bar₆	381	𒌓
bar₇	172	𒉈
bar₈	054v	𒂙
bara	074	𒁇
bara₁₀	260	𒃖
bara₂	344	𒁈
bara₄	069	𒁁
bara₅	488b	𒇃
bara₆	517	𒇙
bara₈	485	𒇣
bara₉	502	𒇗
barag	344	𒁈
bare	074	𒁇
bargi?	474	
barig	480	X
barim	202	𒉺𒁽
baštum	322	𒆗
bat	069	𒁁
baṭ	069	𒁁
bat₂	469	𒉻
bat₅	449	𒅆
bata	069	𒁁
batu	472	𒌍
be	069	𒁁
be₂	214	𒁉
be₃	231	𒉌
be₄	005	𒁀
be₅	536	𒆪
be₆	383	𒉿
be₇	172	𒉈
bed	324	𒂍
bed₃	536	𒆪
bek	592	𒋝
bel	172	𒉈
bel₂	173	𒉋
belili	358	𒀩
ber	400	𒄵
ber₂	381	𒌓
ber₅	079	
ber₆	388	𒊶
ber₇	390	𒊯
beš₁₂	381	𒌓
bešeg	233	
bet	324	𒂍
bet₃	536	𒆪
betu	324	𒂍
bi	214	𒁉
bi₂	172	𒉈
bi₃	383	𒉿
bi₄	069	𒁁
bi₅	173	𒉋
bi₆	005	𒁀
bi₇	536	𒆪
bi₉?	398	
bibra	550	𒄾
bibri	550	𒄾
bid	324	𒂍
bid₂	069	𒁁
bid₃	536	𒆪
big	592	𒋝
bik	592	𒋝
bil	172	𒉈
bil₂	173	𒉋
bila	172	𒉈
bili	172	𒉈
bin	056	𒀳
bir	400	𒄵
bir₂	381	𒌓
bir₄	168	𒂔
bir₅	079	𒉆
bir₆	388	𒊶
bir₇	390	𒊯
bir₉	172	𒉈
biri	400	𒄵
biš	346	𒄫
bis₂	346	𒄫
bisag	233	𒂷
bisag₂	314	𒋃
bisag₃	317	𒋄
bisan	233	𒂷
bisan₂	314	𒋃
bisan₃	317	𒋄
bišeba?	151	
bišeba₂?	358	
bišeba₃?	357	
bišebi?	151	
bišebi₂?	358	
bišebi₃?	357	
bit	324	𒂍
biṭ	324	𒂍
bit₂	069	𒁁
bit₃	536	𒆪
biti	324	𒂍
bitu	324	𒂍
bitum	324	
biz	214	𒁉
biz₂	226	𒄐
bizeg₃	317	𒋄
bizem₃	317	𒋄
bu	371	𒁍
bu₁₁	318	𒌑
bu₁₂	411	𒌋
bu₁₃	030	𒅮
bu₁₄	491	𒇡
bu₁₅	469	𒉻
bu₁₆	231	𒉌
bu₂	166	𒆜
bu₃	019	𒅤
bu₄	511	𒇥
bu₅	515	𒇧
bu₇	536	𒆪
bu₈	011	𒁔
bu₉?	096a	
bube	110	𒆯
bugin	522	𒆹
bugin₂	528	𒇅
bugin₄	512	𒇦
buh	355	𒈜
buk	003	𒈮
bul	515	𒇧
bul₂	011	𒁔
bul₃	009	𒁄
bul₄?	030	
bul₅	491	𒇡
bulug	096a	𒁑
bulug₂	011	𒁔
bulug₄	560	𒉄
buluh	002	𒄬
bum	019	𒅤
bun	510	𒇌
bun₂	030	𒅮
buni	522	
bunig	522	
bunig₂	528	
bunig₃	487	
bunig₃?	484	
bunin	522	𒆹
bunin₂	528	𒇅
bunin₄	512	𒇦
bur	349	𒁓
bur₁₀	515	𒇧
bur₁₂	371	𒁍
bur₁₄	054v	𒂙
bur₂	011	𒁔
bur₃	411	𒌋
bur₆	249	𒆤 / 𒆦
bur₇	310	𒄧
bur₈	002	𒄬
buru	349	𒁓
buru₁₄	054v	𒂙
buru₁₆	491	𒇡
buru₁₇	530	
buru₂	011	𒁔
buru₃	411	𒌋
buru₆	313	𒆤
buru₇	310	𒄧
buru₈	002	𒄬
buru₉	227	𒅃
buruh	002	𒄬
buš	166	𒆜
buš₂	346	𒄫
bute	332	𒍠
buti	332	𒍠
butu	332	𒍠
buzur	411	𒌋
buzur₂	471	𒌋𒌋
buzur₅	019	𒅤
d	013	𒀭
da	335	𒁕
da₁₀	396	𒄭
da₁₁?	080	
da₁₂	015	𒅗
da₁₃	063d	𒋺
da₂	139	𒋫
da₃	230	𒆕
da₄	557	𒁮
da₅	132	𒍏
da₆	126	𒋳
da₇	381	𒌓
dab	537	𒁳
dab₂	124	𒋰
dab₃	396	𒄭
