Word,Cuneiform
ukuš₂,𒄾
ul,𒌌
ul₁₂,𒍇
ul₂,𒉡
ul₄,𒄉
ul₆,𒌓
ul₈?,
ula,𒌌
ula₂,𒃪
ulal,𒁁
uli,𒅴
ullu₃,𒌌
ulu,𒌌
ulu₃,𒍇
ulu₄,𒌷
ulud,𒂁
uludi?,
uluki?,
um,𒌝
um₂,𒌓
umah,𒇦
uman,𒄴
umbin,𒌢
umbisag,𒋃
umbisag₂,𒋄
umma₂?,
ummeda₂,𒌟
umu,𒌝
umuh,𒇦
umum,𒌣
umun,𒌋
umun₁₀?,
umun₁₁,𒆹
umun₁₂?,
umun₂,𒌣
umun₃,𒄴
umun₄,𒀪
umun₅,𒇦
umun₆,𒇊
umuna₁₂,𒇩
umuš,𒌆
un₂,𒌋
un₅,𒌓
unken,𒌺
unkin,𒌺
unu,𒀕
unu₁₀,𒄃
unu₅,𒀊
unu₈,𒍑
unu₉,𒆒
unug,𒀕
unugi,𒀐
unugi₂,𒀍
up,𒌒
uq,𒊌
ur,𒌨
ur₁₁,𒀳
ur₁₂,𒋽
ur₁₄,𒃣
ur₂,𒌫
ur₃,𒃡
ur₄,𒌴
ur₅,𒄯
ur₆?,
ur₇,𒉞
ur₈,𒁺
ur₉,𒌲
ura,𒌨
ura₃,𒃡
ura₄,𒌴
ura₅,𒄯
uraš,𒅁
urbigu,𒌩
urbingu,𒌩
urda,𒀴
urda₂,𒀵
urdu,𒀴
urdu₂,𒀵
urgilim,𒉫
urgu₂,𒅺
urrub,𒂁
urrub₂,𒆗
ursagsim,𒋻
ursub,𒂁
urṣub,𒂁
ursub₂,𒆗
urta,𒅁
uru,𒌷
uru₁₁,𒌾
uru₁₂,𒃡
uru₁₃,𒌨
uru₁₆,𒂗
uru₁₇,𒍇
uru₂,𒍍
uru₄,𒀳
uru₅,𒋽
uru₆,𒉞
uru₇,𒌲
uru₈,𒌫
uruaka,𒃰𒋺𒄑
urub,𒌾
urud,𒍏
urud₂,𒁾
uruda,𒍏
urudu,𒍏
urudu₂,𒁾
urugal,𒀍
urugal₂,𒀕
uruišdua,𒃰𒋺𒄑
uruišduha,𒃰𒋺𒄑
uruk,𒀕
urulla,𒃰𒋺𒄑
urum,𒉞
urum₂,𒌲
urum₄,𒌯
urum₈,𒌱
urum₉,𒌬
ururim,𒍍
urušeb,𒍁
urušib,𒍁
urutamga,𒌾
urutamga₂,𒍍
urzub,𒂁
uš,𒍑
uš₁₁,𒅜
uš₁₄,𒅼
uš₁₅,𒋛𒀀
uš₁₈,𒌍
us₂,𒍑
uṣ₂,𒍑
uš₃,𒃣
us₃?,
us₄,𒊍
uš₄,𒌆
uṣ₄,𒊍
us₅,𒇇
uš₇,𒅲
uš₈,𒀳
uš₉,𒁹
usa,𒐍
usa₂,𒍑
usan,𒄛
usan₂,𒄝
usan₃,𒉮
usan₃-sur₅,
usan₄,𒋜
usan₅,𒄷
usan₆,
ušbar,𒌰
ušbar₂,𒍬
ušbar₃,𒌲
ušbar₄?,
ušbar₆,𒉞
ušbar₇,𒌱
ušbur,𒌰
ušbur₂,𒍬
ušbur₃,𒌲
ušbur₄,𒋨
ušbur₆,𒉞
ušbur₇,𒌱
ušen,𒄛
ušera,𒇨
ušeri,𒇨
usi,𒃥
usian,𒄛
ussu,𒑄 / 𒐍
ussu₃,𒀼𒀼𒋰 / 𒑅
uštu,𒉿
uštug,𒉿
ušu,𒁔
usu₂,𒍑
ušu₂,𒌋𒌓
usu₃,
ušu₃,𒌍
ušub,𒋛𒀀
usug₅,𒆈
usuh?,
ušum,𒁔
usun,𒉮
ušur₅,𒌋
ušuš,𒃠
ut,𒌓
uṭ,𒌓
ut₂,𒀾
ut₅,𒍚
ut₆,𒌋𒂵
uta,𒌓
utah,𒌋𒂵
utima,𒃟
utima₂,𒌖
uttu₂,𒋃
uttu₄,𒈮 / 𒈯
utu,𒌓
utu₂,𒌋𒂵
uṭu₂,𒋃
utu₃,𒌋𒌋
uṭu₄,𒈯
utu₅,𒀾
utua,𒁭
utua₂,𒁦
utudi?,<ctrl42>
utuki?,<ctrl42>
utul₃,𒁦
utul₅,𒁟
utul₆,𒁭
utul₈,𒌋𒈬
utun,𒌋𒈬
utuwa,𒁭
utuwa₂,𒁦
uw,𒉿
uya,𒌋𒐊
uz₂,𒍑
uz₃,𒍚
uz₄,𒊍
uz₅,𒇇
uza₃,𒍚
uzaglal,𒀹
uzu,𒍜
uzu₂,𒍬
uzu₅,𒌋𒌓
uzud,𒍚
uzug₅,𒆈
wa,𒉿
wa₂,𒁀
wa₃,𒌑
wa₆,𒈠
wan,𒌋𒌋
war₂,𒈥
war₃,𒀴
we,𒉿
wi,𒉿
wi₄,𒈪
wir,𒄊
wu,𒉿
wu₄,𒈬
wuk,𒈮
wuš,𒈲
ya,𒉿
ya₃,𒉌
ya₄,𒉌𒌓
ye,𒉿
yi,𒉿
yi₂,𒅀
yi₃,𒂊
yu,𒉿
za,𒍝
za₂,𒉌𒌓
za₃,𒍠
za₄,𒉣
za₅,𒀭
za₆,𒆉
zab,𒂟
zabar₂,𒍭
zadim,𒈯
zadra,
zadri,𒋃
zadru,𒋃
zag,𒍠
zag₂,𒉺
zaga,
zagga,𒉌
zagga₂,𒍝
zah,𒉈
zahan₂,𒌋𒂵
zak,𒍠
zak₂,𒉺
zal,𒉌
zal₂?,
zala,𒉌
